"Stimulated, 24h vs. Non-stimulated","Stimulated, 48h vs. Non-stimulated","Stimulated, 48h + LV vs. Non-stimulated","Stimulated, 72h + LV vs. Non-stimulated","Stimulated, 48h vs. Stimulated, 24h","Stimulated, 48h + LV vs. Stimulated, 48h","Stimulated, 72h + LV vs. Stimulated, 48h + LV",names
0.353822365,0.066228331,0.097162461,0.002269091,0.527094227,0.993892298,0.261622162,CLCN6
0.249378116,0.47691876,0.791795805,0.247868192,0.105071452,0.974631763,0.466346546,NPPA
1.67505E-26,8.10306E-44,1.60774E-37,1.35305E-17,0.005347137,0.894570356,8.75949E-05,KIAA2013
7.35404E-20,4.46178E-32,8.79021E-45,1.99395E-39,0.018342662,0.453950134,0.470773261,PLOD1
2.32986E-22,8.84552E-23,8.58906E-19,7.8343E-05,0.965909761,0.908894183,9.50974E-06,MFN2
0.003309726,0.018646383,0.360892365,0.000128364,0.701359946,0.806023074,0.009202325,MIIP
9.12871E-08,7.89845E-13,3.01069E-09,2.71071E-12,0.012952311,0.607641465,0.142870143,TNFRSF8
2.72899E-25,7.06183E-25,2.65192E-23,6.13276E-27,0.957392019,0.986276726,0.549458194,TNFRSF1B
5.33173E-14,4.65084E-18,1.00144E-15,7.3848E-10,0.433518703,0.955997984,0.131628478,VPS13D
0.989894614,0.218708905,0.942683415,0.055038924,0.330717709,0.8174642,0.095510079,SNORA59A
0.429831356,0.061609115,0.603932251,0.209862235,0.445104943,0.827660742,0.107766272,DHRS3
0.000707875,0.000517714,0.002391979,0.011685226,0.909680395,0.94242972,0.651744077,MIR6730
1.40331E-44,1.19019E-51,1.85931E-57,1.77718E-53,0.441216369,0.921615062,0.691925394,PRDM2
0.00028769,5.79707E-05,7.45199E-06,5.62358E-07,0.786037282,0.967737017,0.652717528,KAZN
0.079560544,0.103488967,0.029539438,0.001022641,1,1,1,TMEM51
0.06719826,0.011061591,0.016402047,0.016541587,0.504547683,0.993892298,0.998602934,FHAD1
0.372559223,0.006596562,0.090624529,1.11471E-05,0.155250321,0.903413994,4.51782E-09,EFHD2
0.044923795,0.007438141,0.007160866,0.003715738,0.591707464,1,0.857368276,CELA2B
4.41467E-16,4.84576E-09,1.19134E-08,0.014639872,0.064830836,0.993892298,0.0037844,CASP9
0.00504713,0.15949369,0.204753163,0.22711846,0.287858956,0.993892298,0.019365517,DNAJC16
4.59041E-24,2.99352E-26,7.43818E-32,1.77585E-15,0.768802612,0.88364685,0.000622597,AGMAT
1.69558E-08,1.57456E-17,8.25163E-16,0.014153019,0.015836386,0.974631763,1.92017E-07,DDI2
8.33125E-10,2.40063E-16,2.15389E-14,0.310257149,0.093319783,0.963296177,2.2396E-10,RSC1A1
1.59516E-05,1.22927E-10,8.3777E-13,1.96807E-06,0.099877304,0.94242972,0.044673,PLEKHM2
0.01743463,6.16286E-08,2.41565E-07,2.63613E-09,0.009915505,0.989164843,0.536208447,SLC25A34
0.378330608,0.756429195,0.497067478,0.77498115,0.687428916,0.982013581,0.771239611,UQCRHL
4.35328E-07,3.57357E-11,1.27916E-10,2.12083E-08,0.231465343,0.993892298,0.537250324,FLJ37453
0.29960123,0.682261234,0.008375876,1.8143E-05,0.227092059,0.511038401,0.177790375,SPEN
0.517286601,0.035208281,0.141069214,0.131680469,0.013905646,0.953712552,0.004887899,ZBTB17
1.8994E-05,7.63902E-06,8.40795E-06,6.06603E-07,0.883443293,1,0.575402633,FAM131C
0.31535037,0.634584059,0.085031529,0.060158297,0.692197931,1,0.896408927,EPHA2
5.68466E-10,0.319671631,0.015193523,2.36621E-05,1.18026E-06,0.060442522,0.127365502,ARHGEF19
0.823513161,0.071865369,0.175050413,0.084720915,0.206953399,0.977879834,0.794730231,CPLANE2
4.22242E-12,4.39003E-11,3.86556E-15,0.000494554,0.8434408,0.856178337,7.79643E-05,FBXO42
6.03454E-05,4.55274E-07,6.95849E-07,7.04133E-19,0.4835679,0.9976278,0.00048934,SZRD1
0.000436891,0.000320128,0.002993917,0.001132586,0.871553052,0.888209089,0.799476871,SPATA21
2.60809E-07,1.27773E-16,1.55777E-14,1.08993E-06,0.009610502,0.962570554,0.016291067,NECAP2
1.10934E-23,6.58805E-27,1.25601E-21,7.68211E-12,0.57838392,0.835319737,0.014735301,CROCCP3
4.54835E-12,9.07125E-31,1.20994E-34,4.23577E-41,4.12245E-05,0.937001835,0.360340766,NBPF1
5.3292E-09,2.04541E-15,8.58079E-20,4.81782E-15,0.101103681,0.882984779,0.324761168,CROCCP2
0.025468477,0.062624964,0.500585977,0.392870832,0.776387077,1,0.896469728,RNU1.3
0.009456181,0.045348134,0.590356147,0.346991449,0.559049601,1,0.766720413,RNU1.4
2.33532E-14,2.1109E-11,4.68083E-11,1.46709E-12,0.521724285,0.995128153,0.727155167,CROCC
1.37729E-05,0.029472679,0.004030132,0.736257361,0.081389655,0.94242972,0.023941368,ATP13A2
8.64113E-12,1.89765E-14,1.00872E-13,6.10725E-09,0.583631259,0.993011469,0.195549996,SDHB
9.95288E-05,0.001257817,0.024772936,0.380192146,0.658981099,0.908376215,0.270282274,PADI4
1.12425E-70,1.718E-108,3.25648E-91,1.27492E-63,0.00014206,0.666883307,0.002690817,RCC2
8.70179E-08,4.21029E-18,1.29986E-22,2.98758E-23,0.002313453,0.872341985,0.90754632,ALDH4A1
8.787E-41,1.341E-28,2.48887E-40,8.64747E-41,0.069458537,0.552369005,0.950844253,IFFO2
0.084615682,0.110247796,0.252191031,8.28128E-05,0.937897866,0.976970353,0.014366939,UBR4
4.22464E-36,1.14526E-25,1.3124E-28,6.18846E-09,0.099969109,0.956723421,1.26034E-06,EMC1
1.96077E-83,2.66411E-74,1.90633E-68,3.03059E-17,0.418023267,0.935958672,1.29819E-17,MRTO4
0.017100735,0.080168617,0.000466439,0.00329911,0.663672047,0.671693103,0.656813958,AKR7A3
0.992478565,1.03885E-07,5.59614E-13,4.18526E-19,7.20596E-07,0.654216872,0.153725249,AKR7A2
4.07111E-19,1.64999E-09,4.47596E-12,6.92966E-16,0.013996062,0.918526437,0.368437467,SLC66A1
2.47593E-08,1.15448E-07,1.90708E-08,1.53443E-14,0.871333957,0.986372029,0.084676455,CAPZB
6.91731E-14,7.80919E-17,2.27689E-17,0.001292687,0.577731173,0.993892298,1.62768E-06,MICOS10
0.141092927,0.135697284,0.026656657,0.182370206,0.9969279,0.933719915,0.483772999,NBL1
0.000443655,0.010112066,0.000180826,0.084107197,0.477048917,0.849843574,0.073964266,HTR6
0.206716675,0.114927637,0.25065903,0.023925101,0.859088189,0.978657702,0.379489601,TMCO4
8.15006E-18,3.37607E-16,8.9482E-24,2.54866E-18,0.791076489,0.654216872,0.298608714,OTUD3
0.484683065,5.2354E-08,5.8773E-07,2.49863E-05,1.50287E-09,0.967886944,0.503244315,UBXN10
0.000820819,0.16547028,0.335229794,0.943842511,1,1,1,VWA5B1
0.003736797,0.00117672,0.000859955,0.055504789,0.838155225,0.997402087,0.249013495,CAMK2N1
0.200150111,0.003947285,4.48674E-06,1.11406E-14,0.226748371,0.72713245,0.005809729,MUL1
9.56669E-06,5.29615E-15,9.77479E-12,3.57689E-07,0.002475528,0.894452051,0.141900591,PINK1
0.075304149,0.000466999,0.000257795,5.15397E-11,0.190399186,0.993892298,0.010053773,PINK1.AS
5.66303E-18,5.13698E-10,6.55108E-08,7.85323E-09,0.051202263,0.927266754,0.796665486,DDOST
5.33756E-07,5.49467E-07,2.27469E-07,0.003887234,0.992848705,0.993892298,0.012186696,SH2D5
5.73611E-12,1.49875E-06,4.28122E-10,3.02161E-08,0.105528226,0.819200263,0.628571022,HP1BP3
5.89646E-08,1.88673E-21,9.81001E-25,2.6137E-16,0.000405099,0.937140387,0.086745062,EIF4G3
4.36762E-06,0.000937877,0.002938329,7.50474E-12,0.351174875,0.986372029,0.000540896,ECE1
1.78332E-08,2.04986E-09,1.36857E-11,1.55557E-11,0.789948989,0.911502583,0.958671158,ECE1.AS1
0.065697603,0.001907771,0.001377278,0.012485184,0.366514071,0.996547957,0.620634333,NBPF3
0.554274849,0.48148678,0.309970804,0.002526381,0.954527084,0.986372029,0.072434218,RAP1GAP
5.58531E-21,4.07116E-06,3.51056E-05,0.00011679,2.12494E-05,0.975624966,7.89903E-15,USP48
0.003130158,0.000172957,0.023089987,0.007943512,0.599840285,0.802355534,2.42725E-06,HSPG2
8.37563E-06,9.80053E-07,1.08361E-08,9.28816E-06,0.733530474,0.88901685,0.163979348,LINC01635
0.038679574,0.002069731,0.001750953,0.012613866,0.487845048,1,0.656813958,LINC00339
2.33871E-09,6.35462E-22,1.24321E-23,2.25996E-20,0.002069268,0.982342928,0.592390651,CDC42
0.437752556,0.180392897,0.17760573,0.774472232,0.073480863,1,0.146904468,WNT4
5.40549E-18,1.03966E-27,9.13848E-29,2.187E-34,0.074711118,0.993892298,0.394149994,ZBTB40
0.001757154,0.051356654,0.047033453,0.035230781,0.301430866,1,0.926620382,EPHB2
8.48932E-06,3.72653E-09,1.56261E-07,0.000232616,0.293984789,0.952138973,0.215256267,KDM1A
0.024828306,0.261464169,0.036803584,3.38628E-08,0.412480518,0.908634961,0.002263218,LUZP1
6.4674E-39,1.02284E-24,2.92344E-15,0.002674031,0.02227279,0.48407506,9.96628E-06,HNRNPR
0.805540419,0.153088573,0.023989663,0.54414171,0.369882601,0.921748762,0.166571578,ZNF436
6.19668E-13,0.000252861,0.00168453,0.917214309,0.002301741,0.971331333,0.00610264,TCEA3
0.512922014,0.68082864,0.93358803,0.650485553,0.382043696,0.965314978,0.660855246,ASAP3
4.39694E-07,6.79246E-76,1.08902E-71,4.02075E-76,6.69699E-57,0.943854121,0.592927229,E2F2
0.003154573,0.6632445,0.389816791,0.047769416,0.034487091,0.815274148,0.373318939,ID3
2.27622E-13,4.48595E-12,4.48583E-09,0.030833024,0.744266046,0.859598291,0.000761037,MDS2
7.38255E-33,5.81002E-48,1.04181E-59,6.26313E-39,0.037051951,0.723255758,0.005151907,RPL11
0.00989285,0.034798842,0.040355796,2.09164E-06,0.764316137,1,5.3898E-11,ELOA
0.167592299,0.401381236,0.055824681,0.064251257,0.706350149,0.887560673,0.971664863,ELOA.AS1
0.001555023,1.10771E-05,1.94232E-08,1.46372E-23,0.387208643,0.872341985,7.77582E-05,PITHD1
9.16802E-93,1.00812E-67,2.7852E-66,7.58052E-27,0.008746676,0.993892298,1.06907E-09,LYPLA2
3.63422E-69,2.18751E-86,4.2473E-100,9.16223E-74,0.058452054,0.724491908,0.002379671,GALE
3.47487E-08,2.27362E-08,3.91998E-16,4.29524E-27,0.975075316,0.380305897,0.019433648,HMGCL
0.025077783,0.531060084,0.645919819,0.256914628,0.198119095,0.993892298,0.602049497,FUCA1
0.636532774,0.093247008,0.386848085,0.778729764,0.367384867,0.921615062,0.658431032,CNR2
0.000162714,1.67169E-06,5.47558E-08,1.24073E-17,0.491206937,0.954898062,0.006580959,PNRC2
0.017267479,9.75719E-06,4.33245E-08,7.59396E-22,0.113670077,0.902667483,0.000220536,SRSF10
1.89947E-15,3.07263E-10,3.55496E-08,1.48757E-16,0.19469819,0.927716911,0.013852023,IFNLR1
0.254640363,0.89028052,0.017228052,5.57363E-05,0.458020767,1,0.070428425,GRHL3
0.003934045,3.36368E-06,3.45799E-08,1.23165E-11,0.165926625,0.919421981,0.301408733,STPG1
4.78951E-18,1.60458E-09,3.50667E-07,0.322022728,0.032633052,0.912765561,5.33046E-09,NIPAL3
3.4927E-19,3.09614E-16,2.90678E-18,8.77673E-11,0.307784633,0.912919217,0.009364894,RCAN3AS
2.26657E-24,5.01011E-14,9.2635E-17,2.87761E-08,0.030749596,0.933400514,0.018805769,RCAN3
0.013117322,0.33582784,0.94153901,0.000882172,0.004145389,0.88347847,0.001275355,NCMAP
5.63665E-14,1.21482E-06,1.76493E-08,5.15778E-11,0.030292827,0.934353106,0.481965579,SRRM1
2.40025E-12,6.51547E-12,6.14596E-11,1.16106E-15,0.934348584,0.986372029,0.23118478,CLIC4
0.005215242,0.098375289,5.42021E-05,0.048219061,0.410430654,0.470940268,0.087160099,RUNX3
4.25669E-25,4.63538E-48,1.65785E-55,4.35422E-31,0.00025916,0.889415695,0.000261695,SYF2
