names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
ZNF767P,-1.34693206,-2.09510473,-2.171728197,-1.898782209,-0.646814139,-0.018520025,0.233805356
ZNF768,0.179512201,0.40140644,-0.175739151,0.329210366,0.171471647,-0.216398519,0.465139158
ZNF77,2.532006834,2.068135802,1.679250217,1.690312374,-0.365811425,-0.092660701,0.017884327
ZNF770,0.013983767,0.000967092,0.013890669,-0.017617068,-0.011253673,0.005317508,-0.028410644
ZNF771,1.787366584,1.688237985,1.748307493,1.422256923,-0.069495125,0.010045617,-0.258508346
ZNF772,1.975397435,1.948712311,1.843992708,2.07446438,-0.022808522,-0.018791074,0.19959619
ZNF773,-0.943985805,-1.717623488,-1.871432925,-2.031588924,-0.66206596,-0.033469354,-0.140905488
ZNF774,1.630699802,2.331464973,3.138021801,2.7055724,0.262187338,0,-0.213936464
ZNF775,1.49841687,1.587418401,1.546251855,2.108503479,0.064309713,-0.010730487,0.518541661
ZNF776,-1.52834105,-2.197482389,-2.428696859,-2.345744274,-0.549869426,-0.053047396,0.065266224
ZNF777,-0.179371132,-0.411571701,-0.732829261,-0.732707332,-0.174666444,-0.085908702,-0.003547913
ZNF778,0.897547518,1.333520081,0.622943661,-1.118749698,0.388597253,-0.607722911,-1.711958933
ZNF780A,1.68448077,1.783376713,1.855439338,1.606735186,0.074647147,0.021101473,-0.218023805
ZNF780B,1.252442204,0.891213297,0.874129113,0.219529497,-0.268155859,-0.003673125,-0.578939517
ZNF781,-0.359370963,-3.055005851,-1.905585027,-2.68178166,-2.545701006,0.060758846,-0.462676553
ZNF782,-0.685927919,-0.591958014,-0.670037028,-0.723055736,0.070079351,-0.018805072,-0.049196504
ZNF783,-0.035426739,-0.686163569,-0.885758482,-1.789650793,-0.533607625,-0.044908468,-0.822977082
ZNF784,-0.511424585,-1.102409154,-1.213335025,-0.754083409,-0.454555449,-0.020876688,0.390911301
ZNF785,0.426438275,-0.092254558,0.266824355,0.167375514,-0.426747121,0.099807496,-0.084877658
ZNF786,0.900022484,0.773141519,0.382513961,-0.324041565,-0.095941598,-0.105379365,-0.644568554
ZNF787,1.236030284,1.389813524,1.106304246,1.26153032,0.120518488,-0.090625183,0.141843708
ZNF789,-0.975851646,-0.88753425,-0.881650621,-0.032923362,0.064794937,0.001378594,0.772708701
ZNF79,1.070981262,0.318379956,0.387323969,0.773721212,-0.634607812,0.014283905,0.341714677
ZNF790,0.504442958,1.157729084,1.210574317,1.80735434,0.489316977,0.009165188,0.523229373
ZNF790.AS1,0.159882055,-1.147269898,-1.187488846,-1.90120425,-0.9836106,-0.002603645,-0.476544216
ZNF791,-1.464863785,-1.682944567,-1.875877032,-1.633352884,-0.174888,-0.06192965,0.216105164
ZNF792,-2.072946058,-1.671867116,-1.835182099,-0.874363776,0.267191627,-0.024583044,0.816090012
ZNF793,-0.100441843,-1.032081291,-0.557501558,-0.23511711,-0.822181163,0.103741788,0.275850055
ZNF793.AS1,0.992261692,0.398879453,1.271316265,1.305162384,-0.26446771,0.047859564,0.044543114
ZNF799,0.711190686,0.618454746,0.650633787,1.051062779,-0.066170922,0.006512752,0.355715236
ZNF8,-2.540845459,-2.285122258,-2.461174783,-2.019737507,0.19161286,-0.041085946,0.385011647
ZNF80,0.779431023,0.558560637,0.840490132,2.232395564,-0.101423341,0.017499633,1.027239809
ZNF800,-1.453950177,-1.578516007,-1.82754064,-1.906889054,-0.105104987,-0.105411765,-0.073916261
ZNF805,-2.635760796,-3.467410277,-3.571678543,-2.701361948,-0.706091744,-0.022191806,0.772218328
ZNF808,-1.103562409,-0.992835987,-0.978112995,-0.452066554,0.085064711,0.003956341,0.478268874
ZNF81,-0.777855402,-0.877305444,-0.933760707,-0.788570058,-0.080064529,-0.018643499,0.127877085
ZNF813,0.400057412,0.184639148,0.325040426,0.650331891,-0.159260689,0.031845104,0.289634648
ZNF814,-0.196800551,-0.829710219,-0.873355231,-1.770090407,-0.561316773,-0.01398889,-0.846795306
ZNF816,1.104351297,0.618573365,0.652805947,0.837015967,-0.387124751,0.008046189,0.164643432
ZNF821,-3.061350446,-1.788742036,-2.268177703,-0.708781405,1.101147882,-0.066527351,1.383074514
ZNF823,1.426947074,1.808245631,1.736367289,2.314690426,0.263356739,-0.013487833,0.510156191
ZNF827,0.026853547,-0.386062862,-0.497015361,-0.221705701,-0.340021313,-0.032962415,0.247395282
ZNF829,0.177378825,-0.058462623,-0.11580131,0.402257096,-0.171728752,-0.012215552,0.46220362
ZNF83,-1.945279259,-1.941226535,-1.739531801,-1.225765251,0.00516425,0.067737554,0.477355961
ZNF830,-0.867791716,-0.92648355,-1.17236949,-1.477484435,-0.045079318,-0.074606382,-0.280149408
ZNF831,-2.944417099,-2.622662273,-2.317574098,-1.979714758,0.216511317,0.051665254,0.268465352
ZNF835,1.774259469,0.917526179,1.370324901,0.869232974,-0.671290566,0.064320868,-0.39202581
ZNF836,-1.076019426,-1.309733315,-1.710963799,-0.977618435,-0.188463901,-0.134516479,0.682759828
ZNF837,0.35592817,0.141264237,-0.062826551,-0.149772358,-0.135917098,-0.02871064,-0.07040241
ZNF839,-0.770663564,-1.267524673,-1.243781751,-1.225791743,-0.444089054,0.009394957,0.013899954
ZNF84,-0.39419391,-1.009496202,-1.078341086,-0.689218202,-0.495449168,-0.015154961,0.336970488
ZNF841,-0.528161722,-0.907610152,-0.560089519,0.027404249,-0.305786523,0.107436133,0.545042309
ZNF844,-1.851596699,-3.602469875,-3.268799465,-3.443508935,-1.665555438,0.065055748,-0.141233528
ZNF845,-0.806927178,-1.755649792,-1.83884845,-1.537473388,-0.859467146,-0.018635626,0.25635221
ZNF846,-2.228811031,-1.936776081,-1.628631409,-1.195737079,0.209770756,0.067561578,0.377610326
