names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
DNAJC1,0.845956013,0.002227688,0.000192047,1.72E-12,0.011817579,0.868055331,0.002659453
DNAJC10,1.57E-27,2.09E-12,3.69E-14,0.0297118,0.000698017,0.905127802,5.02E-07
DNAJC11,1.95E-29,1.85E-23,6.36E-22,0.018703172,0.324096691,0.940108587,4.51E-12
DNAJC12,6.19E-08,1.12E-17,4.43E-17,1.26E-23,1.60E-10,0.939889685,0.000853723
DNAJC13,1.47E-06,0.93134886,0.033243382,0.181543793,1.24E-05,0.296687808,0.546595021
DNAJC14,9.65E-09,6.34E-06,1.80E-05,0.378239479,0.35493529,0.965023278,4.62E-07
DNAJC15,2.25E-13,1.98E-07,1.14E-06,4.08E-07,0.077735727,0.943770904,0.885368457
DNAJC16,0.006679976,0.167868852,0.221664296,0.245759495,0.294164409,0.974398971,0.023324532
DNAJC17,3.73E-22,1.20E-16,1.58E-14,0.000183532,0.262172464,0.879688125,0.000187318
DNAJC18,0.052639714,0.007439886,0.135720157,2.49E-05,0.606809919,0.711596349,0.014504202
DNAJC19,6.61E-17,1.68E-07,3.58E-09,0.040746964,0.006618394,0.867237065,0.000376745
DNAJC2,1.81E-06,0.000361684,0.218810132,0.006678871,0.362375694,0.290613037,0.000147114
DNAJC21,0.000257115,0.009647121,0.001612515,0.009895487,0.424751797,0.897766532,0.679452798
DNAJC24,1.43E-30,8.16E-26,6.04E-32,1.15E-16,0.443302097,0.664193428,0.000910003
DNAJC25,0.309152398,0.143750709,0.053731482,0.037778389,0.023179455,0.919912696,0.918122376
DNAJC27,3.56E-46,1.87E-54,5.45E-60,4.37E-50,0.272197943,0.806228406,0.164778319
DNAJC27.AS1,0.913342306,0.740300007,0.827048862,0.277699903,0.874480411,0,0.454732596
DNAJC28,0.452525908,0.778793339,0.859144201,0.7295214,0.381302754,0,0.897136771
DNAJC3,0.852184447,0.188200317,0.073221433,0.81627988,0.202358082,0.918281678,0.178103206
DNAJC30,0.545929455,4.29E-05,0.001258462,5.80E-22,0.002046208,0.810471076,1.32E-09
DNAJC4,2.38E-28,6.65E-29,2.29E-24,2.75E-06,0.938198002,0.784244024,2.94E-07
DNAJC5,2.47E-11,2.06E-20,1.17E-15,1.04E-07,0.031322406,0.697024767,0.01890249
DNAJC6,0.003670146,0.042918254,0.004720923,0.00759488,0.502309725,0.823301167,0.915105305
DNAJC7,3.90E-34,8.13E-24,1.10E-16,3.68E-05,0.082096202,0.491019722,0.000141527
DNAJC8,2.47E-17,1.02E-12,5.31E-09,0.001215633,0.306579054,0.679049446,0.023072005
DNAJC9,9.91E-24,1.69E-48,6.75E-36,7.77E-12,3.83E-05,0.364951058,1.34E-07
DNAJC9.AS1,0.03493852,0.821063298,0.459248943,0.082066373,0.100762023,0.89672291,0.404042864
DNAL1,0.00151171,0.131667211,0.020394888,8.51E-11,0.173232276,0.010853345,9.58E-05
DNAL4,1.55E-05,8.45E-06,1.17E-05,3.33E-09,0.932692869,0.986468716,0.183436577
DNASE1,0.618963898,1.30E-09,1.94E-05,0.028523148,2.49E-10,0.472656731,0.072469136
DNASE1L1,2.06E-06,1.79E-06,0.001344301,0.006217205,0.986270625,0.562614386,0.736347956
DNASE1L2,0.920890279,0.316802803,0.231727618,0.334436447,0.466252609,0,0.863234362
